,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
67,Cerritos,Valley Christian Schools,Unrated,"10818 Artesia Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/33680-Valley-Christian-Schools/,Private,PK-12,1161.0,Unknown,Private,,,,True,True,True,True,Unknown,33.87285463265306,-118.10309740816326,0.0,,,,,,,,,
68,Cerritos,Valley Christian High School,Unrated,"17700 Dumont Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/8544-Valley-Christian-High-School/,Private,9-12,581.0,Unknown,Private,,,,False,False,False,True,Unknown,33.8705181,-118.103092621271,0.0,,,,,,,,,
69,Cerritos,Valley Christian Middle School,Unrated,"18100 Dumont Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/9067-Valley-Christian-Middle-School/,Private,7-8,183.0,Unknown,Private,,,,False,False,True,False,Unknown,33.86720865,-118.10292309493684,0.0,,,,,,,,,
70,Cerritos,Concordia Lutheran Preschool,Unrated,"13633 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/9369-Concordia-Lutheran-Preschool/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.86606710426147,-118.04119647118804,0.0,,,,,,,,,
71,LongBeach,Prisk Elementary School,10,"2375 Fanwood Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2597-Prisk-Elementary-School/,Public district,K-5,567.0,22:1,Long Beach Unified School District,80.0,74.0,77.0,False,True,False,False,21-30,33.80066231313131,-118.11564026262626,0.0,6%,7%,4%,29%,,1%,11%,6%,36%
72,LongBeach,Eunice Sato Academy Of Math & Science,10,"1100 Iroquois Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/32045-Eunice-Sato-Academy-Of-Math--Science/,Public district,9-12,402.0,19:1,Long Beach Unified School District,96.0,77.0,60.0,False,False,False,True,16-20,33.78093842211055,-118.10607595477386,0.0,15%,7%,10%,32%,<1%,1%,2%,10%,23%
73,LongBeach,Gant Elementary School,9,"5808 E Marita St, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/2560-Gant-Elementary-School/,Public district,K-5,562.0,23:1,Long Beach Unified School District,82.0,74.0,60.0,False,True,False,False,21-30,33.7911433,-118.1139438,0.0,9%,6%,3%,27%,<1%,<1%,10%,5%,40%
74,LongBeach,Henry K-8,9,"3720 Canehill Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/2566-Henry-K-8/,Public district,K-5,846.0,26:1,Long Beach Unified School District,65.0,59.0,42.0,False,True,False,False,21-30,33.825590530612246,-118.11033934693876,0.0,2%,4%,1%,64%,<1%,<1%,7%,3%,19%
75,LongBeach,Kettering Elementary School,9,"550 Silvera Avenue, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/2576-Kettering-Elementary-School/,Public district,K-5,333.0,22:1,Long Beach Unified School District,78.0,73.0,60.0,False,True,False,False,21-30,33.772684636937214,-118.10653710746142,0.0,10%,10%,1%,34%,<1%,,12%,4%,29%
76,LongBeach,Los Cerritos Elementary School,9,"515 West San Antonio Drive, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/2583-Los-Cerritos-Elementary-School/,Public district,K-5,527.0,26:1,Long Beach Unified School District,74.0,65.0,60.0,False,True,False,False,21-30,33.82800471428571,-118.19893128571428,0.0,9%,17%,9%,38%,<1%,1%,10%,2%,14%
